25.0, Private, 7.0, 0, Machine-op-inspct, Own-child, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
38.0, Private, 9.0, 1, Farming-fishing, Husband, White, Male, 0.0, 0.0, 50.0, 1, <=50K
28.0, Local-gov, 12.0, 1, Protective-serv, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
44.0, Private, 10.0, 1, Machine-op-inspct, Husband, Black, Male, 7688.0, 0.0, 40.0, 1, >50K
18.0, ?, 10.0, 0, ?, Own-child, White, Female, 0.0, 0.0, 30.0, 1, <=50K
34.0, Private, 6.0, 0, Other-service, Not-in-family, White, Male, 0.0, 0.0, 30.0, 1, <=50K
29.0, ?, 9.0, 0, ?, Unmarried, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
63.0, Self-emp-not-inc, 15.0, 1, Prof-specialty, Husband, White, Male, 3103.0, 0.0, 32.0, 1, >50K
24.0, Private, 10.0, 0, Other-service, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
55.0, Private, 4.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 10.0, 1, <=50K
65.0, Private, 9.0, 1, Machine-op-inspct, Husband, White, Male, 6418.0, 0.0, 40.0, 1, >50K
36.0, Federal-gov, 13.0, 1, Adm-clerical, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
26.0, Private, 9.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 39.0, 1, <=50K
58.0, ?, 9.0, 1, ?, Husband, White, Male, 0.0, 0.0, 35.0, 1, <=50K
48.0, Private, 9.0, 1, Machine-op-inspct, Husband, White, Male, 3103.0, 0.0, 48.0, 1, >50K
43.0, Private, 14.0, 1, Exec-managerial, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
20.0, State-gov, 10.0, 0, Other-service, Own-child, White, Male, 0.0, 0.0, 25.0, 1, <=50K
43.0, Private, 9.0, 1, Adm-clerical, Wife, White, Female, 0.0, 0.0, 30.0, 1, <=50K
37.0, Private, 9.0, 0, Machine-op-inspct, Unmarried, White, Female, 0.0, 0.0, 20.0, 1, <=50K
40.0, Private, 16.0, 1, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0.0, 0.0, 45.0, 0, >50K
34.0, Private, 13.0, 1, Tech-support, Husband, White, Male, 0.0, 0.0, 47.0, 1, >50K
41.0, Private, 14.0, 0, Exec-managerial, Unmarried, White, Female, 0.0, 0.0, 45.0, 1, <=50K
44.0, Federal-gov, 13.0, 0, Exec-managerial, Not-in-family, Black, Female, 0.0, 0.0, 40.0, 1, <=50K
40.0, Private, 9.0, 0, Adm-clerical, Unmarried, White, Female, 0.0, 0.0, 38.0, 1, <=50K
25.0, Private, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
45.0, Self-emp-not-inc, 9.0, 1, Craft-repair, Husband, White, Male, 7298.0, 0.0, 90.0, 1, >50K
22.0, Private, 9.0, 0, Adm-clerical, Own-child, White, Male, 0.0, 0.0, 20.0, 1, <=50K
33.0, Local-gov, 13.0, 0, Prof-specialty, Not-in-family, White, Female, 0.0, 0.0, 46.0, 1, <=50K
54.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 35.0, 1, <=50K
32.0, Self-emp-not-inc, 10.0, 0, Prof-specialty, Not-in-family, White, Male, 0.0, 0.0, 60.0, 1, <=50K
46.0, State-gov, 10.0, 1, Exec-managerial, Husband, Black, Male, 7688.0, 0.0, 38.0, 1, >50K
56.0, Self-emp-not-inc, 7.0, 0, Other-service, Unmarried, White, Female, 0.0, 0.0, 50.0, 1, <=50K
24.0, Self-emp-not-inc, 13.0, 0, Sales, Not-in-family, White, Male, 0.0, 0.0, 50.0, 1, <=50K
38.0, Local-gov, 10.0, 1, Protective-serv, Husband, White, Male, 0.0, 0.0, 60.0, 1, >50K
26.0, Private, 9.0, 0, Exec-managerial, Unmarried, White, Female, 0.0, 0.0, 40.0, 1, <=50K
65.0, ?, 9.0, 1, ?, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
36.0, Local-gov, 13.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 40.0, 1, >50K
22.0, Private, 3.0, 0, Priv-house-serv, Not-in-family, White, Male, 0.0, 0.0, 50.0, 0, <=50K
17.0, Private, 6.0, 0, Machine-op-inspct, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
20.0, Private, 9.0, 0, Craft-repair, Own-child, White, Male, 0.0, 0.0, 40.0, 1, <=50K
65.0, Private, 14.0, 1, Prof-specialty, Husband, White, Male, 0.0, 0.0, 50.0, 1, >50K
44.0, Self-emp-inc, 11.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 45.0, 1, >50K
36.0, Private, 9.0, 1, Farming-fishing, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
29.0, Private, 7.0, 1, Other-service, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
20.0, State-gov, 10.0, 0, Farming-fishing, Own-child, White, Male, 0.0, 0.0, 32.0, 1, <=50K
28.0, Private, 11.0, 1, Prof-specialty, Wife, White, Female, 0.0, 0.0, 36.0, 1, >50K
39.0, Private, 4.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 0, <=50K
54.0, Private, 10.0, 1, Transport-moving, Husband, White, Male, 3908.0, 0.0, 50.0, 1, <=50K
52.0, Private, 7.0, 0, Priv-house-serv, Not-in-family, Black, Female, 0.0, 0.0, 18.0, 1, <=50K
56.0, Self-emp-inc, 9.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 50.0, 1, <=50K
18.0, Private, 10.0, 0, Other-service, Own-child, White, Male, 0.0, 0.0, 20.0, 1, <=50K
39.0, Private, 9.0, 0, Handlers-cleaners, Own-child, Black, Male, 0.0, 0.0, 40.0, 1, <=50K
21.0, Private, 10.0, 0, Other-service, Own-child, White, Female, 0.0, 1721.0, 24.0, 1, <=50K
22.0, Private, 9.0, 0, Other-service, Not-in-family, White, Male, 14084.0, 0.0, 60.0, 1, >50K
38.0, Private, 5.0, 1, Exec-managerial, Not-in-family, White, Male, 0.0, 0.0, 54.0, 0, <=50K
21.0, Private, 10.0, 0, Adm-clerical, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
63.0, Private, 9.0, 1, Craft-repair, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
34.0, Local-gov, 13.0, 1, Exec-managerial, Husband, White, Male, 3103.0, 0.0, 50.0, 1, >50K
42.0, Self-emp-inc, 9.0, 1, Exec-managerial, Husband, White, Male, 5178.0, 0.0, 50.0, 1, >50K
33.0, Private, 9.0, 1, Handlers-cleaners, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 13.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 50.0, 1, <=50K
39.0, Private, 10.0, 0, Sales, Not-in-family, White, Male, 0.0, 0.0, 40.0, 1, <=50K
26.0, Private, 14.0, 0, Exec-managerial, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
33.0, Private, 9.0, 0, Machine-op-inspct, Own-child, White, Female, 0.0, 0.0, 40.0, 1, <=50K
47.0, Local-gov, 9.0, 0, Adm-clerical, Not-in-family, White, Female, 0.0, 0.0, 40.0, 1, <=50K
41.0, Private, 13.0, 0, Other-service, Not-in-family, White, Female, 0.0, 0.0, 40.0, 0, <=50K
41.0, Self-emp-inc, 12.0, 1, Craft-repair, Husband, White, Male, 15024.0, 0.0, 60.0, 1, >50K
19.0, Private, 10.0, 0, Other-service, Own-child, White, Male, 0.0, 0.0, 20.0, 1, <=50K
36.0, Private, 9.0, 1, Other-service, Wife, Asian-Pac-Islander, Female, 0.0, 0.0, 2.0, 0, <=50K
43.0, Private, 9.0, 1, Sales, Husband, White, Male, 0.0, 0.0, 48.0, 1, <=50K
55.0, Private, 10.0, 1, Exec-managerial, Husband, White, Male, 15024.0, 0.0, 45.0, 1, >50K
46.0, Private, 11.0, 1, Tech-support, Husband, White, Male, 0.0, 0.0, 40.0, 1, <=50K
30.0, Private, 9.0, 1, Machine-op-inspct, Husband, White, Male, 0.0, 0.0, 40.0, 0, <=50K
