@relation census_train

@attribute age numeric
@attribute workclass { Private, Self-emp-not-inc, Self-emp-inc, Federal-gov, Local-gov, State-gov, Without-pay, Never-worked, ? }
@attribute education-num numeric
@attribute marital-status { Married-civ-spouse, Divorced, Never-married, Separated, Widowed, Married-spouse-absent, Married-AF-spouse }
@attribute occupation { Tech-support, Craft-repair, Other-service, Sales, Exec-managerial, Prof-specialty, Handlers-cleaners, Machine-op-inspct, Adm-clerical, Farming-fishing, Transport-moving, Priv-house-serv, Protective-serv, Armed-Forces, ? }
@attribute race { White, Asian-Pac-Islander, Amer-Indian-Eskimo, Other, Black }
@attribute sex { Female, Male }
@attribute capital-gainB numeric
@attribute hours-per-week numeric
@attribute native-country { United-States, Cambodia, England, Puerto-Rico, Canada, Germany, Outlying-US(Guam-USVI-etc), India, Japan, Greece, South, China, Cuba, Iran, Honduras, Philippines, Italy, Poland, Jamaica, Vietnam, Mexico, Portugal, Ireland, France, Dominican-Republic, Laos, Ecuador, Taiwan, Haiti, Columbia, Hungary, Guatemala, Nicaragua, Scotland, Thailand, Yugoslavia, El-Salvador, Trinadad&Tobago, Peru, Hong, Holand-Netherlands, ? }
@attribute target { 1, 0 }

@data
25,Private,7,Never-married,Machine-op-inspct,Black,Male,0,40,United-States,1
38,Private,9,Married-civ-spouse,Farming-fishing,White,Male,0,50,United-States,1
28,Local-gov,12,Married-civ-spouse,Protective-serv,White,Male,0,40,United-States,0
44,Private,10,Married-civ-spouse,Machine-op-inspct,Black,Male,1,40,United-States,0
18,?,10,Never-married,?,White,Female,0,30,United-States,1
34,Private,6,Never-married,Other-service,White,Male,0,30,United-States,1
29,?,9,Never-married,?,Black,Male,0,40,United-States,1
63,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,White,Male,0,32,United-States,0
24,Private,10,Never-married,Other-service,White,Female,0,40,United-States,1
55,Private,4,Married-civ-spouse,Craft-repair,White,Male,0,10,United-States,1
65,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,1,40,United-States,0
36,Federal-gov,13,Married-civ-spouse,Adm-clerical,White,Male,0,40,United-States,1
26,Private,9,Never-married,Adm-clerical,White,Female,0,39,United-States,1
58,?,9,Married-civ-spouse,?,White,Male,0,35,United-States,1
48,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,48,United-States,0
43,Private,14,Married-civ-spouse,Exec-managerial,White,Male,0,50,United-States,0
20,State-gov,10,Never-married,Other-service,White,Male,0,25,United-States,1
43,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,30,United-States,1
37,Private,9,Widowed,Machine-op-inspct,White,Female,0,20,United-States,1
40,Private,16,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,45,?,0
34,Private,13,Married-civ-spouse,Tech-support,White,Male,0,47,United-States,0
41,Private,14,Divorced,Exec-managerial,White,Female,0,45,United-States,1
44,Federal-gov,13,Divorced,Exec-managerial,Black,Female,0,40,United-States,1
40,Private,9,Divorced,Adm-clerical,White,Female,0,38,United-States,1
25,Private,13,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,1
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,1,90,United-States,0
22,Private,9,Never-married,Adm-clerical,White,Male,0,20,United-States,1
33,Local-gov,13,Never-married,Prof-specialty,White,Female,0,46,United-States,1
54,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,35,United-States,1
32,Self-emp-not-inc,10,Never-married,Prof-specialty,White,Male,0,60,United-States,1
46,State-gov,10,Married-civ-spouse,Exec-managerial,Black,Male,1,38,United-States,0
56,Self-emp-not-inc,7,Widowed,Other-service,White,Female,0,50,United-States,1
24,Self-emp-not-inc,13,Never-married,Sales,White,Male,0,50,United-States,1
38,Local-gov,10,Married-civ-spouse,Protective-serv,White,Male,0,60,United-States,0
26,Private,9,Divorced,Exec-managerial,White,Female,0,40,United-States,1
65,?,9,Married-civ-spouse,?,White,Male,0,40,United-States,1
36,Local-gov,13,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,0
22,Private,3,Never-married,Priv-house-serv,White,Male,0,50,Guatemala,1
17,Private,6,Never-married,Machine-op-inspct,White,Male,0,40,United-States,1
20,Private,9,Never-married,Craft-repair,White,Male,0,40,United-States,1
65,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,50,United-States,0
44,Self-emp-inc,11,Married-civ-spouse,Sales,White,Male,0,45,United-States,0
36,Private,9,Married-civ-spouse,Farming-fishing,White,Male,0,40,United-States,1
29,Private,7,Married-civ-spouse,Other-service,White,Male,0,40,United-States,1
20,State-gov,10,Never-married,Farming-fishing,White,Male,0,32,United-States,1
28,Private,11,Married-civ-spouse,Prof-specialty,White,Female,0,36,United-States,0
39,Private,4,Married-civ-spouse,Craft-repair,White,Male,0,40,Mexico,1
54,Private,10,Married-civ-spouse,Transport-moving,White,Male,0,50,United-States,1
52,Private,7,Separated,Priv-house-serv,Black,Female,0,18,United-States,1
56,Self-emp-inc,9,Widowed,Exec-managerial,White,Female,0,50,United-States,1
18,Private,10,Never-married,Other-service,White,Male,0,20,United-States,1
39,Private,9,Divorced,Handlers-cleaners,Black,Male,0,40,United-States,1
21,Private,10,Never-married,Other-service,White,Female,0,24,United-States,1
22,Private,9,Never-married,Other-service,White,Male,1,60,United-States,0
38,Private,5,Married-spouse-absent,Exec-managerial,White,Male,0,54,Mexico,1
21,Private,10,Never-married,Adm-clerical,White,Female,0,40,United-States,1
63,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,1
34,Local-gov,13,Married-civ-spouse,Exec-managerial,White,Male,0,50,United-States,0
42,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,White,Male,1,50,United-States,0
33,Private,9,Married-civ-spouse,Handlers-cleaners,White,Male,0,40,United-States,1
30,Private,13,Never-married,Exec-managerial,White,Female,0,50,United-States,1
39,Private,10,Divorced,Sales,White,Male,0,40,United-States,1
26,Private,14,Never-married,Exec-managerial,White,Female,0,40,United-States,1
33,Private,9,Never-married,Machine-op-inspct,White,Female,0,40,United-States,1
47,Local-gov,9,Divorced,Adm-clerical,White,Female,0,40,United-States,1
41,Private,13,Never-married,Other-service,White,Female,0,40,?,1
41,Self-emp-inc,12,Married-civ-spouse,Craft-repair,White,Male,1,60,United-States,0
19,Private,10,Never-married,Other-service,White,Male,0,20,United-States,1
36,Private,9,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,0,2,Taiwan,1
43,Private,9,Married-civ-spouse,Sales,White,Male,0,48,United-States,1
55,Private,10,Married-civ-spouse,Exec-managerial,White,Male,1,45,United-States,0
46,Private,11,Married-civ-spouse,Tech-support,White,Male,0,40,United-States,1
30,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,40,Mexico,1
21,Private,10,Separated,Handlers-cleaners,White,Female,0,40,United-States,1
46,Private,10,Married-civ-spouse,Craft-repair,Other,Male,0,40,Dominican-Republic,1
17,?,6,Never-married,?,White,Male,0,40,United-States,1
41,Private,9,Married-civ-spouse,Machine-op-inspct,White,Male,0,50,United-States,1
69,Self-emp-inc,9,Married-civ-spouse,Sales,White,Male,0,30,United-States,1
50,Private,9,Married-civ-spouse,Transport-moving,White,Male,0,40,United-States,1
20,Private,10,Never-married,Adm-clerical,White,Female,0,40,United-States,1
45,Self-emp-inc,10,Married-civ-spouse,Machine-op-inspct,White,Male,0,50,United-States,1
23,Private,13,Never-married,Exec-managerial,White,Male,0,40,United-States,1
24,Private,10,Separated,Other-service,White,Male,0,40,United-States,1
44,Self-emp-inc,9,Married-civ-spouse,Craft-repair,White,Male,1,50,?,0
33,Private,9,Never-married,Transport-moving,White,Male,0,40,United-States,1
43,Private,9,Separated,Machine-op-inspct,White,Female,0,44,United-States,1
20,Federal-gov,7,Never-married,Other-service,White,Female,0,10,United-States,1
55,Private,9,Married-civ-spouse,Sales,White,Male,0,56,United-States,0
24,Federal-gov,10,Never-married,Armed-Forces,White,Male,0,40,United-States,1
41,?,14,Married-civ-spouse,?,White,Female,1,10,United-States,0
59,Private,13,Never-married,Exec-managerial,White,Female,0,25,United-States,1
49,Federal-gov,4,Never-married,Other-service,Black,Male,0,20,United-States,1
33,Private,14,Married-civ-spouse,Prof-specialty,White,Female,1,10,United-States,0
59,Federal-gov,13,Divorced,Adm-clerical,White,Male,0,40,United-States,1
34,Private,14,Never-married,Other-service,Amer-Indian-Eskimo,Male,0,40,United-States,1
20,Private,9,Never-married,Handlers-cleaners,White,Male,0,40,United-States,1
25,Private,13,Never-married,Exec-managerial,White,Female,0,40,United-States,1
29,Private,9,Married-civ-spouse,Adm-clerical,White,Female,0,20,United-States,1
47,Private,3,Separated,Sales,White,Female,0,40,Mexico,1
20,Private,9,Never-married,Adm-clerical,White,Female,0,40,United-States,1
51,?,10,Married-civ-spouse,?,White,Female,0,18,United-States,1
33,Private,10,Never-married,Adm-clerical,Black,Female,0,35,United-States,1
22,Private,10,Never-married,Transport-moving,Black,Male,0,39,United-States,1
58,Self-emp-not-inc,5,Widowed,Other-service,White,Female,0,40,United-States,1
52,Local-gov,9,Widowed,Adm-clerical,White,Female,0,28,United-States,1
36,Private,6,Separated,Machine-op-inspct,White,Female,0,40,United-States,1
41,Local-gov,9,Married-civ-spouse,Protective-serv,White,Male,0,40,United-States,1
28,Private,9,Never-married,Transport-moving,White,Male,0,40,United-States,1
19,Private,10,Never-married,Handlers-cleaners,Black,Male,0,16,United-States,1
18,Private,9,Never-married,Other-service,White,Female,0,28,United-States,1
18,Private,9,Never-married,Machine-op-inspct,White,Female,0,48,United-States,1
47,Self-emp-not-inc,10,Married-civ-spouse,Other-service,White,Female,0,52,United-States,1
29,Private,11,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,0
51,State-gov,14,Married-civ-spouse,Exec-managerial,White,Male,0,40,United-States,0
40,Private,10,Married-civ-spouse,Handlers-cleaners,White,Male,0,40,United-States,1
26,Private,9,Never-married,Handlers-cleaners,White,Male,0,40,United-States,1
46,Private,9,Married-civ-spouse,Craft-repair,White,Male,0,40,United-States,1
23,Private,7,Never-married,Other-service,White,Female,0,24,United-States,1
44,Private,9,Married-spouse-absent,Adm-clerical,White,Female,0,40,United-States,1
43,Private,13,Divorced,Sales,White,Female,0,40,United-States,0
31,Local-gov,13,Divorced,Prof-specialty,White,Female,0,60,United-States,1
27,Private,9,Divorced,Adm-clerical,White,Male,0,38,United-States,1
25,Local-gov,13,Never-married,Prof-specialty,White,Female,0,40,United-States,1
24,Private,10,Never-married,Machine-op-inspct,White,Male,0,55,United-States,1
41,Private,9,Divorced,Handlers-cleaners,White,Female,0,40,United-States,1
69,Private,9,Divorced,Adm-clerical,White,Female,0,25,United-States,1
48,Federal-gov,16,Married-civ-spouse,Prof-specialty,White,Female,0,40,United-States,0
28,Private,9,Never-married,Prof-specialty,White,Male,0,40,United-States,1
27,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,White,Male,0,60,Ireland,0
41,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,50,United-States,0
41,Private,10,Married-civ-spouse,Adm-clerical,White,Male,0,40,United-States,1
24,Private,9,Never-married,Craft-repair,Black,Female,0,40,United-States,1
20,?,9,Never-married,?,White,Female,0,40,United-States,1
42,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,White,Male,0,41,United-States,0
57,Private,9,Married-civ-spouse,Craft-repair,Black,Male,0,48,United-States,1
30,Private,12,Never-married,Prof-specialty,White,Female,0,40,United-States,1
36,Private,9,Married-civ-spouse,Sales,White,Male,0,60,United-States,0
21,Private,9,Never-married,Protective-serv,Black,Male,0,40,United-States,1
33,Private,9,Married-civ-spouse,Machine-op-inspct,White,Female,0,35,United-States,1
23,Private,6,Married-civ-spouse,Farming-fishing,White,Male,0,40,United-States,1
46,Private,14,Married-civ-spouse,Prof-specialty,White,Male,0,40,United-States,1
18,Private,10,Never-married,Adm-clerical,Asian-Pac-Islander,Female,0,22,Germany,1
40,Private,9,Married-civ-spouse,Exec-managerial,White,Male,1,55,United-States,0
43,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,White,Male,0,45,United-States,0
34,Private,14,Never-married,Prof-specialty,White,Female,0,30,United-States,1
